Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Weight Unit,Status
huile-saumon-complement,Complément Huile de Saumon Chien & Chat,"<p>Huile de saumon pure riche en oméga-3 EPA/DHA, pour un pelage brillant, une peau saine et le soutien des articulations.</p>",PattesZen,Compléments alimentaires,"chien,chat,complement,pelage,articulations",TRUE,Format,250 ml,PZ-HS-250,260,shopify,30,deny,manual,15.90,,TRUE,TRUE,,,,FALSE,Huile de saumon oméga-3 chien et chat,Complément huile de saumon riche en omega-3 pour pelage brillant et articulations saines.,kg,active
huile-saumon-complement,,,,,,,Format,500 ml,PZ-HS-500,520,shopify,20,deny,manual,26.90,,TRUE,TRUE,,,,FALSE,,,kg,active
complement-articulations-glucosamine,Complément Articulations Glucosamine & Chondroïtine,"<p>Comprimés à base de glucosamine et chondroïtine pour soutenir la mobilité des chiens séniors ou sujets à l'arthrose.</p>",PattesZen,Compléments alimentaires,"chien,complement,articulations,senior",TRUE,Format,60 comprimés,PZ-GC-60,150,shopify,25,deny,manual,21.90,,TRUE,TRUE,,,,FALSE,Complément articulations glucosamine chondroïtine chien,Comprimés glucosamine et chondroïtine pour la mobilité du chien sénior.,kg,active
shampoing-hypoallergenique,Shampoing Hypoallergénique Chien & Chat,"<p>Formule douce sans savon, testée dermatologiquement, adaptée aux peaux sensibles et aux animaux à poils longs.</p>",PattesZen,Hygiène & soin,"chien,chat,hygiene,shampoing,peau-sensible",TRUE,Format,500 ml,PZ-SH-500,550,shopify,30,deny,manual,13.90,,TRUE,TRUE,,,,FALSE,Shampoing hypoallergénique chien et chat,Shampoing doux hypoallergénique pour peaux sensibles.,kg,active
brosse-demelante-poils-longs,Brosse Démêlante Poils Longs,"<p>Brosse ergonomique à picots rotatifs pour démêler en douceur sans tirer sur les poils, réduit la formation de nœuds et de boules de poils.</p>",PattesZen,Hygiène & soin,"chien,chat,accessoire,toilettage",TRUE,Format,Standard,PZ-BD-STD,120,shopify,40,deny,manual,11.90,,TRUE,TRUE,,,,FALSE,Brosse démêlante pour poils longs chien et chat,Brosse ergonomique anti-nœuds pour poils longs.,kg,active
litiere-agglomerante-sans-parfum,Litière Agglomérante Chat Sans Parfum,"<p>Litière agglomérante à absorption rapide, contrôle efficace des odeurs sans parfum ajouté, adaptée aux chats sensibles.</p>",PattesZen,Hygiène & soin,"chat,litiere,hygiene",TRUE,Format,5 L,PZ-LT-5L,3500,shopify,25,deny,manual,9.90,,TRUE,TRUE,,,,FALSE,Litière agglomérante chat sans parfum - 5 L,Litière agglomérante sans parfum à absorption rapide pour chat.,kg,active
litiere-agglomerante-sans-parfum,,,,,,,Format,15 L,PZ-LT-15L,10000,shopify,15,deny,manual,22.90,,TRUE,TRUE,,,,FALSE,,,kg,active
panier-douillet-memoire-de-forme,Panier Douillet à Mémoire de Forme,"<p>Coussin orthopédique à mousse à mémoire de forme, soulage les articulations, housse déhoussable et lavable en machine.</p>",PattesZen,Accessoires bien-être,"chien,chat,couchage,confort,senior",TRUE,Taille,M (60 cm),PZ-PD-M,1200,shopify,20,deny,manual,34.90,,TRUE,TRUE,,,,FALSE,Panier orthopédique mémoire de forme chien et chat,"Panier à mémoire de forme, housse lavable, soulage les articulations.",kg,active
panier-douillet-memoire-de-forme,,,,,,,Taille,L (80 cm),PZ-PD-L,1800,shopify,15,deny,manual,44.90,,TRUE,TRUE,,,,FALSE,,,kg,active
jouet-distributeur-friandises,Jouet Distributeur de Friandises,"<p>Jouet d'occupation qui libère des friandises pendant que votre animal joue, stimule mentalement et ralentit une alimentation trop rapide.</p>",PattesZen,Accessoires bien-être,"chien,chat,jouet,enrichissement",TRUE,Format,Standard,PZ-JD-STD,250,shopify,35,deny,manual,13.90,,TRUE,TRUE,,,,FALSE,Jouet distributeur de friandises pour chien et chat,"Jouet d'occupation distributeur de friandises, stimulation mentale.",kg,active
diffuseur-pheromones-apaisant-chat,Diffuseur de Phérormones Apaisantes pour Chat,"<p>Diffuseur électrique avec recharge de phéromones apaisantes, aide à réduire le stress, le marquage urinaire et les griffades liées à l'anxiété.</p>",PattesZen,Accessoires bien-être,"chat,anti-stress,comportement",TRUE,Format,Diffuseur + recharge,PZ-DP-STD,200,shopify,20,deny,manual,18.90,,TRUE,TRUE,,,,FALSE,Diffuseur de phéromones apaisantes pour chat,Diffuseur avec phéromones apaisantes contre le stress et le marquage chez le chat.,kg,active
lingettes-hygiene-pattes-yeux,Lingettes Hygiène Pattes & Yeux,"<p>Lingettes douces et biodégradables pour nettoyer pattes, yeux et contour du museau après chaque balade, sans rinçage.</p>",PattesZen,Hygiène & soin,"chien,chat,hygiene,lingettes",TRUE,Format,Paquet de 100,PZ-LG-100,400,shopify,40,deny,manual,7.90,,TRUE,TRUE,,,,FALSE,Lingettes hygiène pattes et yeux chien et chat,Lingettes biodégradables pour nettoyer pattes et yeux sans rinçage.,kg,active
